title,day_posted,link,price,location,condition,fuel,odometer,title_status,transmission,type,size
2006 Ford Escape Hybrid 4WD,Nov 26,https://newyork.craigslist.org/brk/cto/d/brooklyn-2006-ford-escape-hybrid-4wd/7237519177.html,"$1,500"," (Bergen Beach, Brooklyn)",fair,hybrid,119000,clean,automatic,SUV,
2005 Toyota Sienna 180k miles,Nov 26,https://newyork.craigslist.org/brk/cto/d/brooklyn-2005-toyota-sienna-180k-miles/7237506927.html,"$1,999","
pic
",fair,gas,180000,clean,automatic,van,mid-size
2003 Ford Windstar,Nov 26,https://newyork.craigslist.org/brk/cto/d/brooklyn-2003-ford-windstar/7237503706.html,"$1,700", (Brooklyn),good,gas,119000,clean,automatic,mini-van,full-size
2001 Volkswagen jetta Automatic Runs Great!!,Nov 26,https://newyork.craigslist.org/fct/cto/d/north-haven-2001-volkswagen-jetta/7237469768.html,"$1,300", (North Haven),excellent,gas,150000,clean,automatic,,
2012 Volkswagen Jetta,Nov 26,https://newyork.craigslist.org/lgi/cto/d/roslyn-heights-2012-volkswagen-jetta/7237450492.html,"$2,000", (Long Island),,gas,133000,clean,automatic,sedan,full-size
2002 Lexus Es300,Nov 26,https://newyork.craigslist.org/brk/cto/d/brooklyn-2002-lexus-es300/7237443654.html,"$1,500", (Brooklyn),good,gas,220000,clean,automatic,sedan,mid-size
2004 volks Passat 4motion,Nov 26,https://newyork.craigslist.org/wch/cto/d/tarrytown-2004-volks-passat-4motion/7237393199.html,"$1,900","
pic
",,gas,,clean,automatic,,
nissan altima 2001,Nov 26,https://newyork.craigslist.org/que/cto/d/woodside-nissan-altima-2001/7237353783.html,"$1,000", (Jackson heights),fair,gas,150000,clean,automatic,sedan,compact
2000 Honda Odyssey EX,Nov 26,https://newyork.craigslist.org/que/cto/d/woodside-2000-honda-odyssey-ex/7237349726.html,"$1,234", (Northern Boulevard),,gas,,clean,automatic,,
2004 Honda Civic,Nov 26,https://newyork.craigslist.org/fct/cto/d/danbury-2004-honda-civic/7237309604.html,"$1,600", (Ct),good,gas,204000,clean,automatic,,
2000 Ford Expedition 4x4 4WD 5.4L Low Miles Runs and Drives,Nov 25,https://newyork.craigslist.org/stn/cto/d/staten-island-2000-ford-expedition-4x4/7237141109.html,"$1,800", (Staten Island),fair,gas,70725,clean,automatic,,
2002 Honda Accord BRING OFFERS,Nov 25,https://newyork.craigslist.org/que/cto/d/brooklyn-2002-honda-accord-bring-offers/7237130492.html,"$1,300", (Brooklyn),fair,gas,205000,clean,manual,,
